Player,Tm,FantPos,Age,FantPt,PPR,DKPt,PosRank
Nico Collins,HOU,WR,22,1,1.7,1.7,109
Tyron Johnson,JAX,WR,25,1,1.6,1.6,114
Blake Bell,KAN,TE,30,1,1.5,1.5,48
Byron Pringle,KAN,WR,28,1,1.6,1.6,111
Demarcus Robinson,KAN,WR,27,1,1.9,1.9,108
Durham Smythe,MIA,TE,26,1,1.9,1.9,43
C.J. Ham,MIN,RB,28,1,2.9,2.9,68
Alexander Mattison,MIN,RB,23,1,1.6,1.6,73
Dede Westbrook,MIN,WR,28,1,2.1,2.1,104
Marquez Callaway,NOR,WR,23,1,2.4,2.4,101
Ty Montgomery,NOR,WR,28,1,1.5,1.5,115
Brandon Bolden,NWE,RB,31,1,0.5,0.5,77
C.J. Board,NYG,WR,28,1,1.6,1.6,113
Devontae Booker,NYG,RB,29,1,2.3,2.3,64
Gary Brightwell,NYG,RB,22,1,1.6,1.6,74
Kyle Rudolph,NYG,TE,32,1,2.8,2.8,45
Nick Westbrook-Ikhine,TEN,WR,24,1,2.0,2.0,105
James Washington,PIT,WR,25,1,3.0,3.0,107
Trenton Cannon,BAL,RB,27,1,0.5,0.5,76
Devin Duvernay,BAL,WR,24,1,1.6,1.6,112
Justin Jackson,LAC,RB,25,1,1.7,1.7,72
DeeJay Dallas,SEA,RB,23,1,2.0,2.0,66
Rashaad Penny,SEA,RB,25,1,0.8,0.8,69
Freddie Swain,SEA,WR,23,1,0.5,0.5,117
Kyle Juszczyk,SFO,RB,30,1,1.7,1.7,71
Mohamed Sanu,SFO,WR,32,1,1.7,1.7,110
Giovani Bernard,TAM,RB,30,1,3.2,3.2,65
Ryan Fitzpatrick,WAS,QB,39,1,0.7,0.7,37
Adam Humphries,WAS,WR,28,1,3.0,3.0,106
J.D. McKissic,WAS,RB,28,1,0.8,0.8,70
Jaret Patterson,WAS,RB,22,1,0.9,0.9,67
Christian Blake,ATL,,25,,,,121
Russell Gage,ATL,,25,,,,149
Josh Rosen,ATL,,24,,,,42
Tajae Sharpe,ATL,,27,,,,124
Lee Smith,ATL,,34,,,,80
Olamide Zaccheaus,ATL,,24,,,,154
Matt Breida,BUF,RB,26,,0.4,0.4,79
Reggie Gilliam,BUF,,24,,,,76
Taiwan Jones,BUF,,33,,,,85
Jake Kumerow,BUF,,29,,,,141
Isaiah McKenzie,BUF,WR,26,,-0.3,-0.3,160
Tommy Sweeney,BUF,,26,,,,51
Alex Erickson,CAR,,29,,,,132
Royce Freeman,CAR,,25,,,,88
Chuba Hubbard,CAR,RB,22,,2.4,2.4,78
Colin Thompson,CAR,,28,,,,81
Brandon Zylstra,CAR,,28,,,,142
J.P. Holtz,CHI,,28,,,,58
Jesse James,CHI,,27,,,,91
Nsimba Webster,CHI,,25,,,,150
Clark Harris,CIN,,37,,,,73
Stanley Morgan Jr.,CIN,,25,,,,134
Drew Sample,CIN,,25,,,,70
Auden Tate,CIN,,24,,,,152
Rashard Higgins,CLE,,27,,,,122
Andy Janovich,CLE,,28,,,,2
D'Ernest Johnson,CLE,,25,,,,101
Donovan Peoples-Jones,CLE,WR,22,,1.4,1.4,118
Mo Alie-Cox,IND,,28,,,,79
Ashton Dulin,IND,,24,,,,135
Jordan Wilkins,IND,,27,,,,99
Darrell Daniels,ARI,,27,,,,86
Demetrius Harris,ARI,,30,,,,75
Jonathan Ward,ARI,,24,,,,100
Maxx Williams,ARI,,27,,,,71
Corey Clement,DAL,,27,,,,93
C.J. Goodwin,DAL,,31,,,,120
Jeremy Sprinkle,DAL,,27,,,,82
Damarea Crockett,DEN,,24,,,,86
Diontae Spencer,DEN,,29,,,,151
Darren Fells,DET,TE,35,,1.2,1.2,49
Dominique Dafney,GNB,,24,,,,65
Josiah Deguara,GNB,,24,,,,74
Jordan Akins,HOU,,29,,,,59
Antony Auclair,HOU,,28,,,,77
Andre Roberts,HOU,,33,,,,138
Jamal Agnew,JAX,,26,,,,147
Dare Ogunbowale,JAX,,27,,,,98
Devin Smith,JAX,,29,,,,126
Michael Burton,KAN,RB,29,,0.2,0.2,83
Marcus Kemp,KAN,,26,,,,139
Jerick McKinnon,KAN,,29,,,,87
Darrel Williams,KAN,RB,26,,0.4,0.4,80
